Date,DAL,UAL,Señales,Hedge Ratio,Sigma,Trade,Accion_DAL,Accion_UAL,Cerrar Posicion,Capital Actual,Ventas Long,Ventas Short,Gasto Long,Gasto Short,Comisión Short,Long shares DAL,Short shares DAL,Long shares UAL,Short shares UAL,Nuevo Capital,Long DAL shares acumuladas,Short DAL shares acumuladas,Long UAL shares acumuladas,Short UAL shares acumuladas,Dinero acumulado Long,Dinero acumulado Short,Dinero en activos Long a día de hoy,Dinero en activos Short a día de hoy,Ganancia/Perdida activo short,Valor Portafolio
2015-01-02,43.47617721557617,66.33999633789062,0.0,0.6554322294543521,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1000000.0
2015-01-05,42.75128936767578,66.1500015258789,0.0,0.646364721950661,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1000000.0
2015-01-06,41.743499755859375,64.58000183105469,0.0,0.6464723004301355,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1000000.0
2015-01-07,41.522491455078125,65.52999877929688,0.0,0.6336871884444696,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1000000.0
2015-01-08,42.60100173950195,66.63999938964844,0.0,0.6393360508992386,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1000000.0
2015-01-09,41.442928314208984,65.33999633789062,0.0,0.634356834793373,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1000000.0
2015-01-12,40.71803665161133,65.91999816894531,0.0,0.6177489068030189,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1000000.0
2015-01-13,41.20424270629883,66.41000366210938,0.0,0.6205157482949704,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1000000.0
2015-01-14,40.055015563964844,64.05000305175781,0.0,0.6253925819253456,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1000000.0
2015-01-15,39.82516860961914,63.83000183105469,0.0,0.6239489215118926,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1000000.0
