Date,DAL,UAL,Señales,Hedge Ratio,Sigma,Trade,Accion_DAL,Accion_UAL,Cerrar Posicion,Capital Actual,Ventas Long,Ventas Short,Gasto Long,Gasto Short,Comisión Short,Long shares DAL,Short shares DAL,Long shares UAL,Short shares UAL,Nuevo Capital,Long DAL shares acumuladas,Short DAL shares acumuladas,Long UAL shares acumuladas,Short UAL shares acumuladas,Dinero acumulado Long,Dinero acumulado Short,Dinero en activos Long a día de hoy,Dinero en activos Short a día de hoy,Ganancia/Perdida activo short
2015-01-02,43.4761848449707,66.33999633789062,0.0,0.6554323444326701,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-05,42.75127410888672,66.1500015258789,0.0,0.6463644915681692,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-06,41.74348831176758,64.58000183105469,0.0,0.6464721231893318,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-07,41.52248764038086,65.52999877929688,0.0,0.6336871305784815,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-08,42.60100173950195,66.63999938964844,0.0,0.6393360514515258,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-09,41.44293212890625,65.33999633789062,0.0,0.6343568934572886,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-12,40.71803283691406,65.91999816894531,0.0,0.6177488490056946,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-13,41.20425796508789,66.41000366210938,0.0,0.6205159785455274,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-14,40.05501937866211,64.05000305175781,0.0,0.6253926435220081,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-15,39.82518005371094,63.83000183105469,0.0,0.6239491027094068,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-16,40.52355194091797,65.75,0.0,0.6162990568347119,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-20,43.46733856201172,68.02999877929688,0.0,0.6390814279644981,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-21,43.4761848449707,69.20999908447266,0.0,0.6282767437973125,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-22,44.81990051269531,72.33999633789062,0.0,0.6195939303549678,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-23,44.69614028930664,73.0999984741211,0.0,0.6114444685940934,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-26,44.33369445800781,73.62000274658203,0.0,0.6021918578163877,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-27,43.4761848449707,71.80000305175781,0.0,0.6054962678832766,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-28,42.839683532714844,70.7699966430664,0.0,0.6053155198454626,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-29,44.38671112060547,73.52999877929688,0.0,0.6036219891738775,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-01-30,41.82306671142578,69.37000274658203,0.0,0.6028732262181934,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-02-02,41.11582946777344,69.37999725341797,0.0,0.5925947258495036,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-02-03,40.673831939697266,67.97000122070312,0.0,0.5983573931719914,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-02-04,41.51364517211914,71.69999694824219,0.0,0.578735654590341,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-02-05,40.78874969482422,69.5999984741211,0.0,0.5857369355983016,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-02-06,40.23183822631836,67.58000183105469,0.0,0.5949419711990511,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-02-09,39.29475784301758,64.56999969482422,0.0,0.6080158648899593,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-02-10,40.06386184692383,67.62999725341797,0.0,0.5917112479635753,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-02-11,39.76329040527344,67.12000274658203,0.0,0.5917287078328167,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-02-12,39.613006591796875,67.33999633789062,0.0,0.5875617996999836,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-02-13,39.33896255493164,66.2300033569336,0.0,0.5932478941228447,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-02-17,39.56882095336914,64.93000030517578,0.0,0.6085883407431251,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-02-18,40.10029220581055,66.72000122070312,0.0,0.6001758272423537,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-02-19,40.676063537597656,66.08999633789062,0.0,0.6145731096168557,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-02-20,42.0224723815918,68.01000213623047,0.0,0.6170357012587261,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-02-23,41.801029205322266,68.83999633789062,0.0,0.6063537195134061,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015-02-24,42.545108795166016,70.88999938964844,0.0,0.5992737962333528,N/A,N/A,N/A,N/A,N/A,1000000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1000000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
